-----Experiment Information-----
Algorithm
|	Type: Evolutionary Algorithm
File Paths
|	Problem file: 50Shapes.txt
|	Configuration file: 50ShapesRand.json
|	Log file: logs/50ShapesRand.txt
|	Solution file: solutions/50ShapesRand.txt
RNG
|	Type: time
|	Seed: 1571876437684
Experiment
|	Number of Runs: 30
|	Number of Evaluations: 1000
EA Settings
|	Initialization Strategy: uniform-random
|	Initial Population Seeding: False
|	Parent Selection: uniform-random
|	Survival Strategy: plus
|	Survival Selection: uniform-random
|	Termination Condition: evaluations
|	Population Size: 100
|	Offspring Count: 10
|	Number of Runs: 30
|	Mutation Rate: 0.3
--------------------------------

Result Log

Run 1
790	3.92	26	0.23	2
800	3.83	26	0.24	2
810	3.86	26	0.26	2
820	3.88	26	0.23	2
830	4.02	26	0.21	2
840	4.04	26	0.24	2
850	4.12	26	0.24	2
860	4.1	26	0.24	2
870	4.13	26	0.21	2
880	4.34	26	0.17	2
890	4.09	26	0.16	2
900	4.23	26	0.15	2
910	4.22	26	0.13	1
920	4.25	26	0.11	1
930	4.23	26	0.12	2
940	4.05	26	0.09	2
950	4.07	26	0.1	2
960	4.13	26	0.11	2
970	3.88	23	0.13	2
980	4.01	23	0.14	2
990	3.6	23	0.14	2
1000	3.67	23	0.11	2

Run 2
100	4.01	21	0.21	2
110	4.11	16	0.23	2
120	4.36	16	0.25	2
130	4.37	16	0.25	2
140	4.31	18	0.23	2
150	4.5	18	0.21	2
160	4.65	18	0.23	2
170	4.6	18	0.24	2
180	4.6	18	0.27	2
190	4.38	18	0.27	2
200	4.41	18	0.26	2
210	4.29	18	0.24	2
220	4.38	18	0.19	2
230	4.38	20	0.18	2
240	4.1	20	0.19	2
250	3.52	20	0.16	2
260	3.58	20	0.17	2
270	3.55	20	0.15	2
280	3.51	20	0.15	2
290	3.34	20	0.15	2
300	3.29	20	0.16	2
310	3.31	20	0.18	2
320	3.33	20	0.17	2
330	3.22	20	0.14	2
340	3.24	20	0.15	2
350	3.22	20	0.15	2
360	3.34	20	0.17	2
370	3.43	22	0.14	2
380	3.31	22	0.16	2
390	3.14	22	0.17	2
400	3.29	22	0.17	2
410	3.36	22	0.17	2
420	3.64	22	0.15	2
430	3.51	22	0.19	2
440	3.75	22	0.18	2
450	3.92	20	0.2	2
460	3.87	20	0.25	2
470	3.9	20	0.24	2
480	3.91	20	0.23	2
490	3.95	20	0.24	2
500	3.96	20	0.22	2
510	3.67	13	0.19	2
520	3.81	13	0.19	2
530	3.63	13	0.16	2
540	3.73	17	0.18	2
550	3.72	17	0.17	2
560	4.03	21	0.19	2
570	3.98	21	0.2	2
580	3.89	21	0.22	2
590	4.1	21	0.21	2
600	3.98	21	0.19	2
610	3.62	17	0.18	2
620	3.86	17	0.16	2
630	3.85	17	0.16	2
640	3.95	17	0.19	2
650	3.89	17	0.21	2
660	4.21	17	0.23	2
670	4.07	17	0.24	2
680	4.1	17	0.2	2
690	4.03	17	0.19	2
700	4.22	17	0.22	2
710	4.43	22	0.25	2
720	4.11	22	0.22	2
730	4.26	22	0.22	2
740	4.22	19	0.23	2
750	4.35	19	0.21	2
760	4.24	19	0.24	2
770	4.55	19	0.25	2
780	4.51	19	0.27	2
790	4.36	19	0.28	2
800	4.29	19	0.24	2
810	4.34	19	0.21	2
820	4.51	19	0.2	2
830	4.62	19	0.16	2
840	4.49	19	0.17	2
850	4.82	26	0.2	2
860	5.07	26	0.22	2
870	4.71	26	0.25	2
880	4.63	26	0.24	2
890	4.58	26	0.24	2
900	4.47	26	0.23	2
910	4.64	26	0.25	2
920	4.56	26	0.3	3
930	4.68	26	0.27	2
940	4.26	26	0.26	2
950	4.14	26	0.24	2
960	4.32	26	0.23	2
970	4.03	19	0.22	2
980	4.13	19	0.23	2
990	4.05	19	0.24	2
1000	3.87	19	0.22	2

Run 3
100	3.97	36	0.17	2
110	4.0	36	0.18	2
120	4.2	36	0.19	2
130	3.86	21	0.18	2
140	3.82	21	0.18	2
150	3.94	21	0.22	2
160	4.18	21	0.24	2
170	4.19	21	0.24	2
180	4.0	21	0.22	2
190	4.23	21	0.25	2
200	4.27	21	0.24	2
210	4.05	21	0.26	3
220	3.8	21	0.24	3
230	3.7	21	0.21	3
240	3.7	21	0.18	2
250	3.81	21	0.19	2
260	3.64	15	0.2	2
270	3.69	15	0.24	2
280	3.92	11	0.22	2
290	4.11	14	0.23	2
300	4.08	14	0.22	2
310	3.92	14	0.23	2
320	3.84	14	0.21	2
330	3.73	14	0.19	2
340	3.65	12	0.15	2
350	3.57	14	0.16	2
360	3.54	14	0.16	2
370	3.47	12	0.16	2
380	3.58	12	0.19	2
390	3.75	12	0.19	2
400	3.93	13	0.21	2
410	4.02	13	0.2	2
420	4.02	13	0.21	2
430	3.92	13	0.21	2
440	4.07	14	0.22	2
450	4.14	14	0.23	2
460	4.24	14	0.22	2
470	4.08	14	0.25	2
480	4.32	18	0.26	2
490	4.29	18	0.25	2
500	4.14	18	0.27	2
510	4.41	18	0.25	2
520	4.28	14	0.23	2
530	4.53	20	0.2	2
540	4.28	20	0.21	2
550	4.09	20	0.22	2
560	4.22	20	0.21	2
570	4.32	20	0.18	2
580	4.27	20	0.18	2
590	4.58	20	0.21	2
600	4.51	20	0.23	2
610	4.71	20	0.23	2
620	4.72	18	0.24	2
630	4.66	18	0.21	2
640	4.31	17	0.25	2
650	4.55	22	0.21	1
660	4.9	22	0.23	2
670	4.88	22	0.23	2
680	4.69	22	0.21	2
690	4.76	22	0.21	2
700	4.84	22	0.21	2
710	5.07	22	0.23	2
720	5.11	22	0.22	2
730	5.17	22	0.21	2
740	4.95	22	0.23	2
750	4.84	22	0.24	3
760	5.0	22	0.24	3
770	4.63	22	0.23	3
780	4.69	22	0.21	3
790	4.73	22	0.22	3
800	4.69	22	0.24	3
810	5.08	22	0.22	3
820	4.78	22	0.2	3
830	4.93	24	0.19	3
840	4.84	24	0.2	3
850	4.68	24	0.21	3
860	4.69	24	0.21	3
870	4.58	24	0.21	3
880	4.71	24	0.18	2
890	4.62	24	0.2	2
900	4.55	24	0.19	2
910	4.48	24	0.21	3
920	4.38	24	0.19	3
930	4.01	22	0.19	3
940	4.09	22	0.19	3
950	4.27	22	0.2	3
960	4.35	22	0.22	3
970	4.47	22	0.23	3
980	4.53	22	0.22	3
990	4.45	22	0.2	3
1000	4.21	22	0.19	3

